ReceiptId,LoanId,TransactionType,PaymentMode,TransactionAmount,NPA
444140,#!?&@#,Disbursement,CASH,20000.00,True
444142,#!?&@$,Disbursement,CASH,10970.00,True
444143,#!?&@%,Disbursement,ADJUST OUT,154850.00,True
444143,#!?&@%,Disbursement,CASH,154850.00,True
444146,#!?&@*,Disbursement,ADJUST OUT,89930.00,True
444146,#!?&@*,Disbursement,CASH,89930.00,True
444169,#!?&#*,Disbursement,BANK,65000.00,True
444173,#!?&#=,Disbursement,CASH,16500.00,True
444194,#!?&$%,Disbursement,CASH,29950.00,True
444194,#!?&$%,Disbursement,BANK,29950.00,True
444196,#!?&$*,Disbursement,ADJUST OUT,22703.00,True
444198,#!?&$+,Disbursement,CASH,75297.00,True
444198,#!?&$+,Disbursement,ADJUST OUT,75297.00,True
444217,#!?&$=,Disbursement,ADJUST OUT,60000.00,True
444217,#!?&$=,Disbursement,BANK,60000.00,True
444235,#!?&%*,Disbursement,BANK,6000.00,True
444238,#!?&%=,Disbursement,ADJUST OUT,12000.00,True
444250,#!?&&&,Disbursement,ADJUST OUT,9000.00,True
444251,#!?&&*,Disbursement,CASH,20000.00,True
444261,#!?&&=,Disbursement,ADJUST OUT,8000.00,True
444267,#!?&&?,Disbursement,ADJUST OUT,109546.00,True
444267,#!?&&?,Disbursement,CASH,109546.00,True
444272,#!?&*@,Disbursement,BANK,8500.00,True
444302,#!?&+@,Disbursement,CASH,69330.00,True
444302,#!?&+@,Disbursement,BANK,69330.00,True
444313,#!?&+&,Disbursement,CASH,6970.00,True
444318,#!?&+=,Disbursement,CASH,17970.00,True
444327,#!?&=*,Disbursement,BANK,9970.00,True
444328,#!?&=+,Disbursement,CASH,62000.00,True
444328,#!?&=+,Disbursement,BANK,62000.00,True
444331,#!?&=?,Disbursement,CASH,38950.00,True
444331,#!?&=?,Disbursement,BANK,38950.00,True
444336,#!?&?#,Disbursement,CASH,20000.00,True
444337,#!?&?$,Disbursement,CASH,20000.00,True
444340,#!?&?&,Disbursement,CASH,18000.00,True
444341,#!?&?*,Disbursement,CASH,18000.00,True
444389,#!?&!=,Disbursement,CASH,9500.00,True
444390,#!?&!?,Disbursement,CASH,20000.00,True
444391,#!?&!!,Disbursement,ADJUST OUT,50000.00,True
444399,#!?*@$,Disbursement,CASH,8000.00,True
444400,#!?*@%,Disbursement,CASH,13000.00,True
444418,#!?*@!,Disbursement,BANK,219850.00,True
444419,#!?*#@,Disbursement,CASH,64930.00,True
444419,#!?*#@,Disbursement,BANK,64930.00,True
444421,#!?&?=,Intrest,ONLINE,1067.00,True
444421,#!?&?=,Intrest,CASH,1067.00,True
444423,#!?*##,Disbursement,BANK,338300.00,True
444425,#!?*#$,Disbursement,CASH,9970.00,True
444434,#!?*#&,Disbursement,BANK,81000.00,True
444435,#!?*#*,Disbursement,BANK,10000.00,True
444438,#!?*#=,Disbursement,BANK,65000.00,True
444444,#!?*#!,Disbursement,BANK,90000.00,True
444446,#!?*$@,Disbursement,BANK,77000.00,True
444447,#!?*$#,Disbursement,BANK,15000.00,True
444475,#!?*$*,Disbursement,CASH,59930.00,True
444475,#!?*$*,Disbursement,ADJUST OUT,59930.00,True
444482,#!?*$=,Disbursement,ADJUST OUT,9970.00,True
444485,#!?*$!,Disbursement,BANK,249850.00,True
444508,#!?*%*,Disbursement,BANK,101000.00,True
444509,#!?*%+,Disbursement,CASH,70000.00,True
444509,#!?*%+,Disbursement,BANK,70000.00,True
444513,#!?*%?,Disbursement,CASH,12970.00,True
444517,#!?*&@,Disbursement,CASH,20000.00,True
444518,#!?*&#,Disbursement,CASH,14000.00,True
444519,#!?*&$,Disbursement,BANK,299700.00,True
444522,#!?*&*,Disbursement,BANK,16000.00,True
444523,#!?*&+,Disbursement,CASH,20000.00,True
444524,#!?*&=,Disbursement,BANK,15000.00,True
444527,#!?*&!,Disbursement,ADJUST OUT,55000.00,True
444527,#!?*&!,Disbursement,CASH,55000.00,True
444527,#!?*&!,Disbursement,BANK,55000.00,True
444530,#!?**#,Disbursement,ADJUST OUT,62645.00,True
444532,#!?**$,Disbursement,ADJUST OUT,18000.00,True
444535,#!?**%,Disbursement,CASH,13500.00,True
444541,#!?**&,Disbursement,CASH,29950.00,True
444541,#!?**&,Disbursement,BANK,29950.00,True
444548,#!?%+$,Repayment,ONLINE,5000.00,True
444556,#!?**+,Disbursement,ADJUST OUT,15500.00,True
444574,#!?**!,Disbursement,ADJUST OUT,21900.00,True
444575,#!?*+@,Disbursement,ADJUST OUT,33485.00,True
444576,#!?*+#,Disbursement,ADJUST OUT,34455.00,True
444578,#!?*+$,Disbursement,ADJUST OUT,22500.00,True
444578,#!?*+$,Disbursement,CASH,22500.00,True
444581,#!?*+%,Disbursement,ADJUST OUT,48000.00,True
444582,#!?*+&,Disbursement,ADJUST OUT,39013.00,True
444582,#!?*+&,Disbursement,CASH,39013.00,True
444583,#!?*+*,Disbursement,ADJUST OUT,27744.00,True
444584,#!?*++,Disbursement,ADJUST OUT,17918.00,True
444585,#!?*+=,Disbursement,ADJUST OUT,17683.00,True
444586,#!?*+?,Disbursement,ADJUST OUT,14200.00,True
444590,#!?*+!,Disbursement,ADJUST OUT,22972.00,True
444591,#!?*=@,Disbursement,ADJUST OUT,98000.00,True
444591,#!?*=@,Disbursement,CASH,98000.00,True
444594,#!?*=#,Disbursement,ADJUST OUT,12162.00,True
444594,#!?*=#,Disbursement,CASH,12162.00,True
444596,#!?*=$,Disbursement,ADJUST OUT,16540.00,True
444597,#!?*=%,Disbursement,ADJUST OUT,44248.00,True
444597,#!?*=%,Disbursement,CASH,44248.00,True
444598,#!?*=&,Disbursement,ADJUST OUT,14214.00,True
444598,#!?*=&,Disbursement,CASH,14214.00,True
444599,#!?*=*,Disbursement,ADJUST OUT,18307.00,True
444600,#!?*=+,Disbursement,ADJUST OUT,14200.00,True
444600,#!?*=+,Disbursement,CASH,14200.00,True
444622,#!?*=!,Disbursement,ADJUST OUT,35145.00,True
444622,#!?*=!,Disbursement,CASH,35145.00,True
444627,#!?*?@,Disbursement,ADJUST OUT,17000.00,True
444636,#!?*?*,Disbursement,CASH,18000.00,True
444637,#!?*?+,Disbursement,ADJUST OUT,55837.00,True
444642,#!?*!@,Disbursement,BANK,5500.00,True
444666,#!?*!*,Disbursement,CASH,80950.00,True
444666,#!?*!*,Disbursement,BANK,80950.00,True
444675,#!?*!=,Disbursement,ADJUST OUT,153000.00,True
444675,#!?*!=,Disbursement,CASH,153000.00,True
444680,#!?+@$,Disbursement,CASH,9970.00,True
444681,#!?+@%,Disbursement,BANK,25000.00,True
444685,#!?+@+,Disbursement,CASH,16270.00,True
444688,#!?+@?,Disbursement,BANK,31500.00,True
444695,#!?+##,Disbursement,ADJUST OUT,42768.00,True
444699,#!?+#$,Disbursement,ADJUST OUT,17354.00,True
444702,#!?+#%,Disbursement,ADJUST OUT,74374.00,True
444704,#!?+#&,Disbursement,CASH,27950.00,True
444704,#!?+#&,Disbursement,BANK,27950.00,True
444705,#!?+#*,Disbursement,ADJUST OUT,36285.00,True
444707,#!?+#+,Disbursement,CASH,69930.00,True
444707,#!?+#+,Disbursement,BANK,69930.00,True
444711,#!?+#?,Disbursement,ADJUST OUT,6772.00,True
444713,#!?+#!,Disbursement,ADJUST OUT,14079.00,True
444715,#!?+$@,Disbursement,ADJUST OUT,48294.00,True
444716,#!?+$#,Disbursement,ADJUST OUT,90005.00,True
444718,#!?+$$,Disbursement,ADJUST OUT,19588.00,True
444724,#!?+$+,Disbursement,ADJUST OUT,70800.00,True
444728,#!?+$=,Disbursement,ADJUST OUT,19569.00,True
444730,#!?+$?,Disbursement,CASH,85911.00,True
444730,#!?+$?,Disbursement,ADJUST OUT,85911.00,True
444731,#!?+$!,Disbursement,ADJUST OUT,108564.00,True
444735,#!?+%@,Disbursement,CASH,2980.00,True
444738,#!?+%#,Disbursement,CASH,10000.00,True
444753,#!?+%&,Disbursement,ADJUST OUT,60000.00,True
444755,#!?+%*,Disbursement,CASH,59930.00,True
444755,#!?+%*,Disbursement,BANK,59930.00,True
444759,#!?+%?,Disbursement,ADJUST OUT,3099.00,True
444766,#!?+%!,Disbursement,ADJUST OUT,18600.00,True
444768,#!?+&@,Disbursement,ADJUST OUT,9900.00,True
444774,#!?+&$,Disbursement,ADJUST OUT,7400.00,True
444776,#!?+&%,Disbursement,ADJUST OUT,44000.00,True
444778,#!?+&&,Disbursement,ADJUST OUT,177000.00,True
444778,#!?+&&,Disbursement,CASH,177000.00,True
444780,#!?+&*,Disbursement,ADJUST OUT,177000.00,True
444780,#!?+&*,Disbursement,CASH,177000.00,True
444791,#!?+*#,Disbursement,ADJUST OUT,23300.00,True
444794,#!?+*%,Disbursement,ADJUST OUT,23200.00,True
444796,#!?+*&,Disbursement,CASH,49930.00,True
444796,#!?+*&,Disbursement,BANK,49930.00,True
444797,#!?+**,Disbursement,ADJUST OUT,16200.00,True
444799,#!?+*+,Disbursement,CASH,350000.00,True
444799,#!?+*+,Disbursement,BANK,350000.00,True
444802,#!?+*?,Disbursement,ADJUST OUT,36000.00,True
444805,#!?+*!,Disbursement,BANK,69930.00,True
444807,#!?++#,Disbursement,ADJUST OUT,37500.00,True
444807,#!?++#,Disbursement,CASH,37500.00,True
444809,#!?++$,Disbursement,ADJUST OUT,15000.00,True
444809,#!?++$,Disbursement,CASH,15000.00,True
444811,#!?++%,Disbursement,ADJUST OUT,8000.00,True
444811,#!?++%,Disbursement,CASH,8000.00,True
444813,#!?++&,Disbursement,ADJUST OUT,6000.00,True
444813,#!?++&,Disbursement,CASH,6000.00,True
444815,#!?++*,Disbursement,ADJUST OUT,6000.00,True
444815,#!?++*,Disbursement,CASH,6000.00,True
444817,#!?+++,Disbursement,ADJUST OUT,7300.00,True
444819,#!?++=,Disbursement,ADJUST OUT,6000.00,True
444819,#!?++=,Disbursement,CASH,6000.00,True
444823,#!?++!,Disbursement,ADJUST OUT,8500.00,True
444825,#!?+=@,Disbursement,ADJUST OUT,5000.00,True
444834,#!?+=$,Disbursement,BANK,44950.00,True
444835,#!?+=%,Disbursement,CASH,9970.00,True
444844,#!?+=*,Disbursement,CASH,3980.00,True
444847,#!?+==,Disbursement,BANK,19970.00,True
444848,#!?+=?,Disbursement,CASH,24000.00,True
444848,#!?+=?,Disbursement,BANK,24000.00,True
444849,#!?+=!,Disbursement,CASH,24000.00,True
444849,#!?+=!,Disbursement,BANK,24000.00,True
444850,#!?+?@,Disbursement,CASH,224000.00,True
444850,#!?+?@,Disbursement,BANK,224000.00,True
444851,#!?+?#,Disbursement,CASH,22000.00,True
444851,#!?+?#,Disbursement,BANK,22000.00,True
444859,#!?+?$,Disbursement,BANK,104850.00,True
444862,#!?+@!,Topup,CASH,1026.00,True
444869,#!?+?&,Disbursement,ADJUST OUT,35000.00,True
444871,#!?+?*,Disbursement,CASH,12000.00,True
444872,#!?+?+,Disbursement,CASH,18000.00,True
444877,#!?+!@,Disbursement,ADJUST OUT,26000.00,True
444877,#!?+!@,Disbursement,CASH,26000.00,True
444884,#!?+!#,Disbursement,ADJUST OUT,25500.00,True
444889,#!?+!$,Disbursement,CASH,10000.00,True
444891,#!?+!%,Disbursement,BANK,13970.00,True
444891,#!?+!%,Disbursement,CASH,13970.00,True
444926,#!?+!+,Disbursement,ADJUST OUT,78000.00,True
444926,#!?+!+,Disbursement,CASH,78000.00,True
444930,#!?+!?,Disbursement,ADJUST OUT,97772.00,True
444930,#!?+!?,Disbursement,CASH,97772.00,True
444931,#!?+!!,Disbursement,ADJUST OUT,25240.00,True
444932,#!?=@@,Disbursement,ADJUST OUT,21454.00,True
444933,#!?=@#,Disbursement,ADJUST OUT,18877.00,True
444934,#!?=@$,Disbursement,ADJUST OUT,25146.00,True
444935,#!?=@%,Disbursement,ADJUST OUT,18735.00,True
444936,#!?=@&,Disbursement,ADJUST OUT,17486.00,True
444937,#!?=@*,Disbursement,ADJUST OUT,12490.00,True
444938,#!?=@+,Disbursement,ADJUST OUT,16000.00,True
444939,#!?=@=,Disbursement,ADJUST OUT,13694.00,True
444941,#!?=@?,Disbursement,CASH,19000.00,True
444944,#!?=#@,Disbursement,CASH,14000.00,True
444946,#!?=##,Disbursement,ADJUST OUT,31685.00,True
444947,#!?=#$,Disbursement,ADJUST OUT,21123.00,True
444948,#!?=#%,Disbursement,ADJUST OUT,31685.00,True
444949,#!?=#&,Disbursement,ADJUST OUT,31600.00,True
444952,#!?=#+,Disbursement,CASH,20000.00,True
444955,#!?=#?,Disbursement,CASH,16000.00,True
444959,#!?=$@,Disbursement,ADJUST OUT,28500.00,True
444959,#!?=$@,Disbursement,CASH,28500.00,True
444960,#!?=$#,Disbursement,ADJUST OUT,17281.00,True
444961,#!?=$$,Disbursement,ADJUST OUT,19259.00,True
444962,#!?=$%,Disbursement,ADJUST OUT,29000.00,True
444962,#!?=$%,Disbursement,BANK,29000.00,True
444964,#!?=$&,Disbursement,ADJUST OUT,19715.00,True
444965,#!?=$*,Disbursement,ADJUST OUT,10500.00,True
444966,#!?=$+,Disbursement,ADJUST OUT,9700.00,True
444966,#!?=$+,Disbursement,CASH,9700.00,True
444967,#!?=$=,Disbursement,ADJUST OUT,15032.00,True
444969,#!?=$!,Disbursement,ADJUST OUT,30000.00,True
444969,#!?=$!,Disbursement,CASH,30000.00,True
444970,#!?=%@,Disbursement,ADJUST OUT,25000.00,True
444970,#!?=%@,Disbursement,CASH,25000.00,True
444979,#!?=%$,Disbursement,CASH,9000.00,True
444980,#!?=%%,Disbursement,CASH,18000.00,True
444982,#!?=%&,Disbursement,ADJUST OUT,28000.00,True
444982,#!?=%&,Disbursement,CASH,28000.00,True
444990,#!?=%*,Disbursement,CASH,29450.00,True
444990,#!?=%*,Disbursement,BANK,29450.00,True
444996,#!?=%=,Disbursement,CASH,50000.00,True
444996,#!?=%=,Disbursement,BANK,50000.00,True
444999,#!?=&@,Disbursement,CASH,14000.00,True
445008,#!?=&%,Disbursement,CASH,8000.00,True
445015,#!?=&?,Disbursement,ADJUST OUT,50000.00,True
445022,#!?=*#,Disbursement,CASH,24470.00,True
445022,#!?=*#,Disbursement,BANK,24470.00,True
445024,#!?=*%,Disbursement,ADJUST OUT,61000.00,True
445026,#!?=*&,Disbursement,ADJUST OUT,79000.00,True
445034,#!?=*+,Disbursement,CASH,20000.00,True
445035,#!?=*=,Disbursement,ADJUST OUT,48758.00,True
445045,#!?=+@,Disbursement,ADJUST OUT,32147.00,True
445053,#!?=+#,Disbursement,CASH,17000.00,True
445064,#!?=+&,Disbursement,ADJUST OUT,18500.00,True
445077,#!?=+=,Disbursement,ADJUST OUT,22000.00,True
445077,#!?=+=,Disbursement,CASH,22000.00,True
445085,#!?==@,Disbursement,CASH,32500.00,True
445085,#!?==@,Disbursement,ADJUST OUT,32500.00,True
445088,#!?==#,Disbursement,ADJUST OUT,46000.00,True
445088,#!?==#,Disbursement,CASH,46000.00,True
445089,#!?==$,Disbursement,ADJUST OUT,71000.00,True
445093,#!?==%,Disbursement,ADJUST OUT,140450.00,True
445094,#!?==&,Disbursement,BANK,103000.00,True
445095,#!?==*,Disbursement,CASH,9970.00,True
445098,#!?==+,Disbursement,ADJUST OUT,36143.00,True
445103,#!?===,Disbursement,ADJUST OUT,5000.00,True
445105,#!?==?,Disbursement,ADJUST OUT,23230.00,True
445115,#!?==!,Disbursement,ADJUST OUT,29751.00,True
445117,#!?=?@,Disbursement,ADJUST OUT,122543.00,True
445120,#!?=?#,Disbursement,ADJUST OUT,122543.00,True
445177,#!?=?!,Disbursement,ADJUST OUT,10564.00,True
445179,#!?=!@,Disbursement,ADJUST OUT,31692.00,True
445187,#!?=!#,Disbursement,BANK,21970.00,True
445187,#!?=!#,Disbursement,CASH,21970.00,True
445188,#!?=!$,Disbursement,CASH,5970.00,True
445191,#!?=!%,Disbursement,CASH,20000.00,True
445193,#!?=!*,Disbursement,BANK,146350.00,True
445194,#!?=!+,Disbursement,ADJUST OUT,27989.00,True
445195,#!?=!=,Disbursement,ADJUST OUT,16535.00,True
445196,#!?=!?,Disbursement,ADJUST OUT,17881.00,True
445196,#!?=!?,Disbursement,CASH,17881.00,True
445197,#!?=!!,Disbursement,ADJUST OUT,20668.00,True
445200,#!??@@,Disbursement,ADJUST OUT,22046.00,True
445201,#!??@#,Disbursement,ADJUST OUT,12401.00,True
445202,#!??@$,Disbursement,ADJUST OUT,19721.00,True
445202,#!??@$,Disbursement,CASH,19721.00,True
445203,#!??@%,Disbursement,ADJUST OUT,12860.00,True
445203,#!??@%,Disbursement,CASH,12860.00,True
445205,#!??@&,Disbursement,ADJUST OUT,32863.00,True
445205,#!??@&,Disbursement,CASH,32863.00,True
445206,#!??@*,Disbursement,ADJUST OUT,70703.00,True
445215,#!??#@,Disbursement,CASH,8600.00,True
445220,#!??#$,Disbursement,ADJUST OUT,30000.00,True
445220,#!??#$,Disbursement,CASH,30000.00,True
445227,#!??#%,Disbursement,ADJUST OUT,24500.00,True
445227,#!??#%,Disbursement,CASH,24500.00,True
445240,#!??#*,Disbursement,BANK,52000.00,True
445241,#!??#+,Disbursement,BANK,52000.00,True
445245,#!??#?,Disbursement,ADJUST OUT,159850.00,True
445247,#!??#!,Disbursement,BANK,10000.00,True
445249,#!??$@,Disbursement,CASH,29950.00,True
445249,#!??$@,Disbursement,BANK,29950.00,True
445252,#!??$$,Disbursement,CASH,27500.00,True
445252,#!??$$,Disbursement,BANK,27500.00,True
445255,#!??$%,Disbursement,CASH,48000.00,True
445255,#!??$%,Disbursement,BANK,48000.00,True
445256,#!??$&,Disbursement,CASH,20000.00,True
445257,#!??$*,Disbursement,ADJUST OUT,64000.00,True
445257,#!??$*,Disbursement,CASH,64000.00,True
445260,#!??$+,Disbursement,ADJUST OUT,75000.00,True
445260,#!??$+,Disbursement,CASH,75000.00,True
445269,#!??%@,Disbursement,ADJUST OUT,13000.00,True
445281,#!??%&,Disbursement,ADJUST OUT,28000.00,True
445282,#!??%*,Disbursement,CASH,12000.00,True
445291,#!??%?,Disbursement,CASH,14970.00,True
445293,#!??%!,Disbursement,ADJUST OUT,122025.00,True
445293,#!??%!,Disbursement,CASH,122025.00,True
445298,#!??&@,Disbursement,ADJUST OUT,100750.00,True
445298,#!??&@,Disbursement,BANK,100750.00,True
445299,#!??&#,Disbursement,BANK,109850.00,True
445301,#!??&$,Disbursement,BANK,98000.00,True
445320,#!??&*,Disbursement,CASH,10000.00,True
445339,#!??&!,Disbursement,CASH,25950.00,True
445339,#!??&!,Disbursement,BANK,25950.00,True
445340,#!??*@,Disbursement,ADJUST OUT,45000.00,True
445350,#!??*#,Disbursement,CASH,6937.00,True
445371,#!??**,Disbursement,CASH,55930.00,True
445371,#!??**,Disbursement,BANK,55930.00,True
445378,#!??*?,Disbursement,CASH,7000.00,True
445384,#!??+@,Disbursement,BANK,24950.00,True
445384,#!??+@,Disbursement,CASH,24950.00,True
445388,#!??+%,Disbursement,ADJUST OUT,71000.00,True
445390,#!??+&,Disbursement,ADJUST OUT,57000.00,True
445394,#!??+=,Disbursement,ADJUST OUT,58000.00,True
445401,#!??=#,Disbursement,ADJUST OUT,61000.00,True
445401,#!??=#,Disbursement,CASH,61000.00,True
445417,#!??=*,Disbursement,CASH,10000.00,True
445422,#!??=+,Disbursement,CASH,139850.00,True
445422,#!??=+,Disbursement,BANK,139850.00,True
445428,#!???@,Disbursement,CASH,20000.00,True
445429,#!???#,Disbursement,ADJUST OUT,50000.00,True
445429,#!???#,Disbursement,CASH,50000.00,True
445430,#!???$,Disbursement,CASH,152920.00,True
445430,#!???$,Disbursement,BANK,152920.00,True
445434,#!???&,Disbursement,ADJUST OUT,22000.00,True
445434,#!???&,Disbursement,CASH,22000.00,True
445436,#!???+,Disbursement,CASH,20000.00,True
445437,#!???=,Disbursement,CASH,20000.00,True
445438,#!????,Disbursement,CASH,20000.00,True
445439,#!???!,Disbursement,CASH,20000.00,True
445440,#!??!@,Disbursement,CASH,20000.00,True
445441,#!??!#,Disbursement,BANK,190000.00,True
445473,#!?!@$,Disbursement,ADJUST OUT,20000.00,True
445473,#!?!@$,Disbursement,CASH,20000.00,True
445486,#!?!@*,Disbursement,BANK,13000.00,True
445490,#!?!@+,Disbursement,BANK,24950.00,True
445493,#!?!@=,Disbursement,CASH,20000.00,True
445496,#!?!@?,Disbursement,CASH,20000.00,True
445498,#!?!@!,Disbursement,CASH,20000.00,True
445511,#!?!##,Disbursement,BANK,35000.00,True
445515,#!?!#$,Disbursement,BANK,38950.00,True
445517,#!?!#%,Disbursement,BANK,34950.00,True
445519,#!?!#*,Disbursement,BANK,23970.00,True
445523,#!?!#+,Disbursement,CASH,14970.00,True
445526,#!?!#=,Disbursement,CASH,44450.00,True
445526,#!?!#=,Disbursement,BANK,44450.00,True
445538,#!?!$$,Disbursement,CASH,27050.00,True
445538,#!?!$$,Disbursement,BANK,27050.00,True
445540,#!?!$%,Disbursement,CASH,12000.00,True
445547,#!?!$+,Disbursement,BANK,13000.00,True
445556,#!?!$=,Disbursement,ADJUST OUT,244850.00,True
445556,#!?!$=,Disbursement,BANK,244850.00,True
445569,#!?!$?,Disbursement,CASH,6970.00,True
445574,#!?!%#,Disbursement,CASH,58500.00,True
445574,#!?!%#,Disbursement,BANK,58500.00,True
445577,#!?!%$,Disbursement,ADJUST OUT,58930.00,True
445577,#!?!%$,Disbursement,CASH,58930.00,True
445583,#!?!%*,Disbursement,ADJUST OUT,5000.00,True
445585,#!?!%+,Disbursement,CASH,9000.00,True
445591,#!?!&#,Disbursement,CASH,9000.00,True
445623,#!?!&+,Disbursement,ADJUST OUT,35000.00,True
445623,#!?!&+,Disbursement,CASH,35000.00,True
445625,#!?!&=,Disbursement,CASH,7000.00,True
445626,#!?!&?,Disbursement,BANK,16000.00,True
445628,#!?!&!,Disbursement,CASH,20000.00,True
445629,#!?!*@,Disbursement,CASH,20000.00,True
445630,#!?!*#,Disbursement,CASH,13500.00,True
445635,#!?!*%,Disbursement,ADJUST OUT,29650.00,True
445635,#!?!*%,Disbursement,CASH,29650.00,True
445657,#!?!*?,Disbursement,CASH,117000.00,True
445657,#!?!*?,Disbursement,BANK,117000.00,True
445660,#!?!*!,Disbursement,ADJUST OUT,33051.00,True
445662,#!?!+@,Disbursement,ADJUST OUT,34429.00,True
445663,#!?!+#,Disbursement,ADJUST OUT,54384.00,True
445663,#!?!+#,Disbursement,CASH,54384.00,True
445664,#!?!+$,Disbursement,ADJUST OUT,53432.00,True
445665,#!?!+%,Disbursement,ADJUST OUT,27700.00,True
445666,#!?!+&,Disbursement,ADJUST OUT,94000.00,True
445666,#!?!+&,Disbursement,CASH,94000.00,True
445667,#!?!+*,Disbursement,ADJUST OUT,32300.00,True
445668,#!?!++,Disbursement,ADJUST OUT,19308.00,True
445669,#!?!+=,Disbursement,ADJUST OUT,37400.00,True
445669,#!?!+=,Disbursement,CASH,37400.00,True
445670,#!?!+?,Disbursement,ADJUST OUT,50982.00,True
445670,#!?!+?,Disbursement,CASH,50982.00,True
445673,#!?!=#,Disbursement,CASH,6000.00,True
445676,#!?!=$,Disbursement,ADJUST OUT,84000.00,True
445678,#!?!=&,Disbursement,ADJUST OUT,40000.00,True
445678,#!?!=&,Disbursement,CASH,40000.00,True
445680,#!?!=+,Disbursement,ADJUST OUT,23000.00,True
445680,#!?!=+,Disbursement,CASH,23000.00,True
445681,#!?!==,Disbursement,ADJUST OUT,261093.00,True
445682,#!?!=?,Disbursement,ADJUST OUT,261093.00,True
445683,#!?!=!,Disbursement,ADJUST OUT,52009.00,True
445683,#!?!=!,Disbursement,CASH,52009.00,True
445684,#!?!?@,Disbursement,ADJUST OUT,34473.00,True
445685,#!?!?#,Disbursement,ADJUST OUT,85499.00,True
445685,#!?!?#,Disbursement,CASH,85499.00,True
445686,#!?!?$,Disbursement,ADJUST OUT,140277.00,True
445686,#!?!?$,Disbursement,CASH,140277.00,True
445688,#!?!?&,Disbursement,ADJUST OUT,65034.00,True
445688,#!?!?&,Disbursement,CASH,65034.00,True
445691,#!?!?*,Disbursement,ADJUST OUT,45218.00,True
445691,#!?!?*,Disbursement,CASH,45218.00,True
445692,#!?!?+,Disbursement,ADJUST OUT,29017.00,True
445693,#!?!?=,Disbursement,ADJUST OUT,47866.00,True
445693,#!?!?=,Disbursement,CASH,47866.00,True
445694,#!?!??,Disbursement,ADJUST OUT,45292.00,True
445694,#!?!??,Disbursement,BANK,45292.00,True
445694,#!?!??,Disbursement,CASH,45292.00,True
445695,#!?!?!,Disbursement,ADJUST OUT,27532.00,True
445702,#!?!!@,Disbursement,BANK,39950.00,True
445704,#!?!!#,Disbursement,CASH,15000.00,True
445705,#!?!!$,Disbursement,CASH,10000.00,True
445708,#!?!!&,Disbursement,ADJUST OUT,30000.00,True
445711,#!?!!*,Disbursement,ADJUST OUT,74374.00,True
445713,#!?!!+,Disbursement,ADJUST OUT,41361.00,True
445714,#!?!!=,Disbursement,ADJUST OUT,28832.00,True
445715,#!?!!?,Disbursement,ADJUST OUT,47825.00,True
445717,#!!@@@,Disbursement,ADJUST OUT,35487.00,True
445723,#!!@@%,Disbursement,CASH,10000.00,True
445734,#!!@@+,Disbursement,ADJUST OUT,50000.00,True
445735,#!!@@=,Disbursement,CASH,7500.00,True
445736,#!!@@?,Disbursement,BANK,44000.00,True
445736,#!!@@?,Disbursement,ADJUST OUT,44000.00,True
445741,#!!@#$,Disbursement,CASH,10000.00,True
445744,#!!@#&,Disbursement,ADJUST OUT,14970.00,True
